Title,Question,Answer,Hint,Popularity/Fun,Difficulty
Snapoker Championships,"The card game Snapoker is a very complex game for four players, requiring the use of two decks of cards with all odd spades, even hearts, prime diamonds (including aces) and non-prime clubs (including aces) removed.  Note that jacks are 11, queens are 12, kings are 13.  Two jokers are added to the deck and are each worth 15.  The cards are dealt among the four players.  A hand starts when the dealer shouts ""Let's Snapoker!""  Following a frenetic minute of randomly throwing all cards onto the table, and at the dealer's call of ""Heeeeeeere, piggy, piggy, piggy!"" players are required to grab as many cards as they can.  Once all cards have been grabbed, the total value of the cards in each player's hand is added up.  Points (4, 3, 2 and 1) are awarded to players on each hand, with the highest card total receiving maximum points.  In the event of a tie, the player who can drink a glass of milk through their nose the quickest will receive the greater points.  A running score is kept throughout the game.  The game is over when someone reaches a total of 518 points or when a fight breaks out, which is a common occurrence.
At the 2002 International Snapoker Championships, the final was very hotly contested.  Despite the high level of competitiveness in the final, no fights broke out.  It was also a day for the history books as it had often been speculated in ""Here Piggy!"", the official Snapoker magazine, that the longest official Snapoker game, which was played in 1979 and lasted for 186 hands, would never be surpassed (incidentally, this 186-hand game was concluded when the fourth placed player lost his marbles and started the biggest Snapoker fight ever seen).  Not only did the 2002 ISC final surpass the 186-hand record, it guaranteed that this new record could never be beaten again, only equalled.  How many hands were played in the 2002 ISC final?","There were 207 hands dealt in all.
In each hand of Snapoker there are a total of 10 points on offer, so after any given hand the total of all four players' scores must be a multiple of 10.
The highest total of all four players' scores such that the individual scores are still all less than the 518-point winning mark is 2060 (eg. 517, 516, 514, 513 or some other similar combination), which corresponds to 206 hands.  This would mean that on the 207th hand one of the players would finally and inevitably win the game.","In each hand there are a total of 10 points on offer, so after any given hand the total of all four players' scores must be a multiple of 10.",2.56,2.36
Popcorn Problems,"When the circus's popcorn vendor went on vacation, Charlie the Chimp saw it as the perfect opportunity to start a new act, so he volunteered to man the stand. Everything was going great until the very end of the day, when a set of twins showed up. There was just 1 large box of popcorn left to sell, and it was too late to pop another batch, so the twins asked Charlie if he could split the popcorn into two equal portions.Charlie knew that the large box held exactly 12 cups of popcorn. He also had 2 empty boxes on hand: a medium box that held exactly 8 cups and a small box that held exactly 5 cups. But none of the boxes had any measurement markings on them. There must be a way to divide the 12 cups of popcorn so that the two boxes contain exactly 6 cups each, thought the chimp.
How did he give out an equal amount of popcorn to the twins?","Fill the 8-cup box from the 12-cup box, leaving 4 cups. Fill the 5-cup box from the 8-cup box, leaving 3 cups. Empty the 5-cup box into the 12-cup box. Now there are 9 cups in the 12-cup box and 3 cups in the 8-cup box. Pour the 3 cups into the 5-cup box. Fill the 8-cup box from the 12-cup box, leaving 1 cup in the 12-cup box. Fill the 5-cup box (it already has 3 cups in it) from the 8-cup box, leaving 6 cups in the 8-cup box. Finally, empty the 5-cup box into the 12-cup box. This results in 6 cups in the 12-cup box, 6 cups in the 8-cup box, and nothing in the 5-cup box.",,2.56,2.72
Counting Wrappers,"Your favourite chocolate bar is having a special promotion, buy 10 get 1 free! To get a free bar, simply collect 10 wrappers and turn them in for 1 free bar. What fraction of a bar is each wrapper worth?","Each wrapper is worth 1/9 of a bar.
10 wrappers are worth 1 free bar, so it appears each wrapper is worth 1/10 of a bar, except that the free bar comes with a wrapper.
10 wrappers are worth 1 free bar (with 1 free wrapper), so each wrapper is worth 1/10 of a bar plus 1/10 of a wrapper. The 1/10 of a wrapper is worth 1/100 of a bar plus 1/100 of a wrapper, and so on. 1/10 + 1/100 + 1/1000 + ... = 0.111... = 1/9.
The answer can be shown with the following algebra, where w is the value of a wrapper, and b is the value of a bar.
10w = b + w (10 wrappers are worth 1 bar with 1 wrapper)
9w = b (subtract w from each side)
w = b/9 (divide both sides by 9)
Each wrapper (w) is worth 1/9 of a bar (b).",Remember that the free bar has a wrapper.,2.56,2.1
Threes and Sevens,"Using the four digits 3,3,7,7 and the mathematical operators +,-,*,/ write an expression equal to 24.  You must use each digit exactly once, but may use each operator multiple times, or not at all.  Parentheses are allowed.  The following would be a valid expression:
(7 + 3)/(7 + 3) = 1",(3 + 3/7) * 7 = 24,Think fractions.,2.56,2.58
How Many In The Family?,"Each son in the Hubbard family has just as many brothers as sisters, but each daughter has twice as many brothers as sisters.
How many boys and girls are there in the family?","There are 4 boys and 3 girls in the family.
(Each boy has 3 brothers and 3 sisters, but each girl has 4 brothers and 2 sisters.)",Do your math and remember one is not one`s own sibling.,2.56,1.61
It Adds Up,"Figure out the pattern in the first three examples and use it to figure out the last.
1, 2, 3 (s)
4, 5, 6 (f)
7, 7, 1 (f)
3, 9, 7 (?)",The answer is (n).  Add the numbers and take the first letter of the sum.,The title is the hint.,2.56,1.67
Truckload of Chickens,"A man took a truckload of chickens to market. In the first hour, he sold one-half of his birds, plus one-half of a chicken. The next hour, he sold one-third of his remaining chickens plus one-third of a chicken. In the third hour, he sold one-fourth of what he had left, plus three-fourths of a chicken. The last hour, he sold one-fifth of the chickens, plus one-fifth of a chicken. He did not cut up any chickens to make these sales. He returned home with 19 chickens. How many did he take to market?","101
So at each hour he has:
101
50
33
24
19
The equations is 4/5*(3/4*(2/3*(.5X-.5)-1/3)-.75)-.2=19",,2.56,2.16
Ages,"If Susan is 10, Arabella is 20, and Jim and Neil are both 5, how old is Jennifer by the same system?","Jennifer is 15, in the system that awards 5 for each syllable.",,2.55,1.98
Algebraic Sugar Cane,"10 factories produce sugar cane. The second produced twice as much as the first. The third and fourth each produced 80 more than the first. The fifth produced twice as much as the second. The sixth produced 40 more than the fifth. The seventh and eighth each produced 40 less than the fifth. The ninth produced 80 more than the second. The tenth produced nothing due to drought in Australia. If the sum of the production equaled 11,700, what did the first factory produce?","500.  First write down what each factory produced in relation to the first factory (whose production is X):
1:  X
2:  2X
3:  X+80
4:  X+80
5:  4X
6:  4X+40
7:  4X-40
8:  4X-40
9:  2X+80
10:  0X
Add them all up and set equal to 11,700 to get the equation:
23X + 200 = 11,700
Solution is:  X = 500",Use algebra. Eg / The first factory is X and the second is 2X.,2.55,2.09
Marbles in Squares,"Lester and Terance each have marble collections. The number in Lester's collection is a square number (1,4,9,16, etc). Lester says to Terance, ""If you give me all of your marbles I'll still have a square number."" Terance replies, ""If you gave me the number in my collection you would still be left with a square."" What is the least number of marbles Lester has?",Lester has 25 marbles and Terance has 24 marbles.,,2.55,2.02
Roman Matches I,"The following equation involving Roman numerals is formed using matchsticks. The given equation is wrong. Can you correct it by moving just one matchstick? See if you can do it twice: the equation can be corrected in two different ways. Each solution must be an equation (i.e., it must contain one equals sign).
Note:
I(1) and -(minus) are each formed from one matchstick.
V(5), X(10), L(50), +(plus), and =(equals) are each two matchsticks.
C(100) is three matchsticks.
The incorrect equation is: III = II - I","First solution: II = III - I
Take one matchstick from the III on the left side of the equation and add it to the II on the right side.
Second solution: III - II = I
Take one matchstick from the equals sign (changing it to a minus sign) and place it above the minus sign (changing it to an equals sign).",One solution changes the Roman numerals; the other solution doesn't.,2.55,1.6
How Old is Grandpa,"Grandpa says, ""My grandson is about as many days as my son is weeks, and my grandson is as many months as I am in years. My grandson, my son and I together are 100  years. Can you tell me my age in years?""","This problem is conveniently solved by writing down the necessary equations.
Let m be my age in years. If s is my son's age in years, then my son is 52s weeks old. If g is my grandson's age in years, then my grandson is 365g days old. Thus,
365g = 52s.
Since my grandson is 12g months old,
12g = m.
Since my grandson, my son and I together are 100  years,
g + s + m = 100.
The above system of 3 equations in 3 unknowns (g, s and m) can be solved as follows.
m / 12 + 365 m / (52 x 12) + m = 100  or
52 m + 365 m + 624 m = 624 x 100  or
m = 624 x 100  / 1041 = 60.
So, I am 60  years old.""
Food for thought:
Why is the word ""about"" used in the Problem Statement in the sentence ""My grandson is about as many days as my son is weeks""? Calculate the son's age and the grandson's age. Then, verify whether the first equation (i.e., 365g = 52s) is exactly satisfied.
An elegant solution is possible on realizing the significance of the word ""about"" in the Problem Statement.
Elegant Solution:
The first equation (365g = 52s) can be approximated by
7g = s.
As before, the other two equations are
12g = m
g + s + m = 100.
The above system of 3 equations in 3 unknowns (g, s and m) can be simply solved as follows.
g + 7g + 12g = 100 or 20g = 100.
m = 12g = 12 x 100  / 20 = 60.
So, Grandpa is 60  years old.",,2.55,2.49
Dogs and Fleas,"There are two dogs. Both have fleas.
If one flea jumps from the 1st dog to the 2nd, then both will have
the same amount.
Or if one flea jumps from the 2nd dog to the 1st, then the 1st will
have 5 times the amount of the 2nd.
How many fleas do each dog have before any jumping takes place?","1st dog as 4 fleas
2nd dog as 2 fleas",,2.55,1.4
"10,000 - 9,999...","Can you solve this?
10,000 - 9,999 + 9,998 - 9,997...
...5 + 4 - 3 + 2 - 1 = ?","The answer is 5,000.  If you noticed, each consecutive pair, starting with the 1st two equals one and it happens in the progression, 5,000 times.",,2.55,1.42
Losing Petrol,"After visiting my Great Aunt Bernie, I travelled home in my old jalopy. The car was so old and battered, I was stuck in second gear. This meant that I could only travel along at a steady 30 miles per hour and managed a paltry 20 miles per gallon of petrol. At the start of the journey I had placed exactly 10 gallons of petrol into the tank. I knew though, that the petrol tank had a leak and lost petrol at the rate of half a gallon per hour. As I arrived home, the car stopped because it had run out of petrol and I only just made it. How far was it from my Great Aunt's to my home?","150 miles; as I was travelling at 30 mph, I was using 1.5 gallons of petrol and losing 0.5 gallon of petrol for each hour I travelled. Therefore, I was getting through the petrol at a total rate 2 gallons per hour. Since I had 10 gallons of petrol at the start, I could travel for 5 hours before running out. 5 hours at 30 mph is 150 miles.",,2.55,1.75
Hungry Termites,You have two very hungry termites and two sticks of wood.  One stick of wood is 12 inches long and the other is 16 inches long.  One termite can eat sticks at the rate of 1 inch every 3 minutes.  The other termite can eat 1 inch in 4 minutes.  How would you use the termites and sticks to measure 61 minutes?,"Start the slow termite eating the longer stick.  It will take the slow termite 16 minutes to eat the 4 inches that will make the sticks the same size.  When the sticks are the same size, start the fast termite on the other stick.  This termite will finish his 12 inch stick in 36 minutes.  That's 52 minutes elapsed so far and the slow termite still has 3 inches left on his stick.  Remove the slow termite and let the fast termite finish off the 3 inches in 9 minutes for a total of 61 minutes.",,2.55,2.96
Four 0's,"Using only four ZERO'S (0) and any Mathematical Operations/Symbols, obtain the number 24.","0! = 1
(0! + 0! + 0! + 0!)! = 24",,2.55,2.53
I Will Spend $10,"A man goes into a store one day, and says to the cashier, ""If you can match and give me what I have in my pocket, I will spend $10 in your store.""
The cashier matched and gave the man the money, and the man spent $10.  The man then went to another store, said the same thing, and did the same.  He then went to a third store, said the same thing, and did the same.  After leaving the third store, he had no money left.  How much money did he start out with?","He started out with $8.75.
8.75+8.75=17.50-10.00=$7.50
7.50+7.50=15.00-10.00=$5.00
5.00+5.00=10.00-10.00=$0",,2.55,1.98
6 ? 6 ? 6 ? 6,"Insert the symbols +, -, *, and / between the 6's to make each equation below valid.  The only catch is that the equations must read from left to right, ignoring normal arithmetic order.  For example, 3 + 3 * 3 would equal 18, not 12 (3+3=6; 6*3=18).
1.  42 = 6 ? 6 ? 6 ? 6
2.  48 = 6 ? 6 ? 6 ? 6
3.  66 = 6 ? 6 ? 6 ? 6
4.  108 = 6 ? 6 ? 6 ? 6
5.  180 = 6 ? 6 ? 6 ? 6","1.  42 = 6 / 6 + 6 * 6
2.  48 = 6 * 6 + 6 + 6
3.  66 = 6 + 6 * 6 - 6
4.  108 = 6 + 6 + 6 * 6
5.  180 = 6 * 6 - 6 * 6",,2.55,2.0
Escalator,"Justin takes the underground train to work and uses an escalator at the railway station. If Justin runs up 7 steps of the escalator, then it takes him 30.0 seconds to reach the top of the escalator. If he runs up 13 steps of the escalator, then it takes him only 21.0 seconds to reach the top.
How many seconds would it take Justin to reach the top if he did not run up any steps of the escalator at all?","Solution:
If he runs up 7  steps, then he needs 30.0  seconds to reach the top.
If he runs up 13  steps, then he needs 21.0  seconds to reach the top.
The 6 additional steps take 9.0 seconds.
Therefore, each step takes 1.5 seconds.
Total steps in escalator = 7 + 30.0 / 1.5 = 27 or Total steps in escalator = 13 + 21.0 / 1.5 = 27.
If Justin did not run up any steps at all,
he would reach the top of the escalator in 40.5 seconds",,2.55,2.47
7777,Can you take 4 7's and arrange them with any math symbols needed to make the total be 100?,77/.77=100,Division is needed,2.55,2.62
Sabrina and Samantha,"Sabrina gave Samantha as many dollars as Samantha started out with. Samantha then gave Sabrina back as much as Sabrina had left. Sabrina then gave Samantha back as many dollars as Samantha had left, which left Sabrina broke and gave Samantha a total of $80.00. How much did Sabrina and Samantha have at the beginning of their exchange?","Sabrina had $50 and Samantha had $30.
This can be solved by setting up two simultaneous equations, but it's easier just to work backwards:
At each step, the person who is receiving the money gets the amount that they were already holding.  In other words, they double their money.
Therefore, just before the last exchange, Samantha must have had $40 and was given another $40 to get to her total of $80.
Just before the second exchange, Sabrina must have had half of her $40.  Therefore, Sabrina had $20 and Samantha had $60.
After the first exchange Samantha doubled her money, so she must have had $30 before the exchange, leaving Sabrina with $50 at the start.",,2.55,1.83
My Age,"When I add 6 times my age 6 years from now to 7 times my age 7 years from now, I get 14 times my current age. How old will I be 3 years from now?",88,,2.55,1.61
"Men, Women and Children",In a party of 35 people there are twice as many women as children and twice as many children as men.  How many of each are there?,"5 men, 10 children and 20 women.",,2.55,1.04
"What's ""Purrfect""?","""I'm 'purrfect'"", purred Six, digging her claws into the top of the fence. ""They call me Six because 6 is a 'purrfectly' perfect number.""
""What's so perfect about it?"" meowed the long-hair from the next yard.
""There's something special about 6 that makes it just perfect. Only a good thinker can figure it out!""
Six is right. 6 is called a perfect number. Figure out why. Then find the next greater perfect number!","A perfect number is equal to the sum of all its whole number factors, except itself. So, 6 is a perfect number because the sum of its whole number factors, except itself, is 6 (1 + 2 + 3 = 6). The next greater perfect number is 28 because the sum of its whole number factors, except itself, 1, 2, 4, 7, and 14 add up to 28.",Think about the factors of 6. See what happens when you add or multiply all of them (except for 6 itself) together.,2.54,2.16
Will He Make It?,"Gino's mom has told him he needs to take a bucket of water over to their neighbor since she is experiencing problems with her water supply. He doesn't want to waste much time since he has a soccer game to play later in the afternoon. From past experience he knows if he uses the small hose it takes 45 minutes to fill the bucket with water. He also knows that the larger hose can do the same in 30 minutes. If he uses both hoses, how long will it take him to fill the bucket?","The small hose can fill 1/45 of the bucket every minute. The larger hose can fill 1/30 of the bucket every minute. To add the two speeds, we need to first find a common denominator.
1/45 = 2/90 and 1/30 = 3/90
Adding the two speeds:
2/90 + 3/90 = 5/90 = 1/18
Since both hoses together can fill 1/18 of the bucket every minute, it will take 18 minutes. By doing this Gino will save at a minimum 12 minutes. This will get him to his soccer game just in time.",,2.54,1.82
The Racehorse,"There is a racehorse that has won so many prestigious races, many fans come to admire him each day. One day, the owners of the horse were interviewed by a newscaster. The interviewer asked how many people were there today to admire the horse. The owner's reply was as follows:
""Twelve times the amount of yesterday's. Yesterday there was twelve times the amount of the day before. The day before, 155,000 people less came, than how many came during these last two days.""
The quick thinking interviewer promptly replied with the number of viewers who attended today. Can you do the same?","144,000 people came today, 12,000 the day before, and 1,000 two days ago.",,2.54,1.86
Sweet Shop Treats,"Annabel, Cara, Graham, Jordy, and Maddy went to Sally's Sweet Shop for a treat.
Menu:
Ice-cream Sundae $2.65
Double-scoop Cone $2.10
Chocolate Fudge Cake $2.40
Juice Float $1.00
Chocolate Candy Animal $1.25
Ice-cream Soda $2.25
Each person got something different and each gave the cashier $3.00. Every item on the menu was purchased by someone in the group.
Annabel got back 3 quarters, 1 dime, and 1 nickel in change.
Graham got back the least amount of change.
Cara got back 40¢ more than Graham.
Jordy is the only one who bought 2 items. He still got back 3 quarters in change.
Which sweet treats did each person buy?
(Note: a quarter is worth $0.25, a dime is worth $0.10, and a nickel is worth $0.05.)","Annabel bought the double-scoop cone.
Cara bought the ice-cream soda.
Graham bought the ice-cream sundae.
Jordy bought the juice float and chocolate candy animal.
Maddy bought the chocolate fudge cake.",Find the correct change from $3.00 for each of the items. Then make a chart to eliminate the impossibilities.,2.54,1.71
101,"Add plus and minus signs among the digits 1 2 3 4 5 6 7 8 9 to make the total 101. For example, 1+2+3+45+67-8-9=101. There are ten ways to do it.","(1)1+2+3+45+67-8-9=101
(2)1+2+34+56+7-8+9=101
(3)1+2-3+4-5+6+7+89=101
(4)1+23+4+5+67-8+9=101
(5)1+23-4+5-6-7+89=101
(6)1-2+3+4+5-6+7+89=101
(7)1-2+34+5-6+78-9=101
(8)12+34+5+67-8-9=101
(9)12-3+4-5+6+78+9=101
(10)123+4+56+7-89=101","Try all possible combinations of two-digit numbers and the three-digit number 123. Since there are only plus and minus signs, be aware of parity.",2.54,2.44
Peanuts For Peter,"Three children, Peter, Jane and Eric, shared a bag of peanuts. There were 770 peanuts in the bag. For every 4 peanuts Peter took, Jane took 3, and for every 6 peanuts Peter took, Eric took 7. How many peanuts did Peter get?","For every 12 peanuts Peter took, Jane had 9 and Eric 14. This is a total of 35 in one round. 770 divided by 35 is 22, so they had 22 rounds. 12 times 22 are 264.
Answer: 264",,2.54,1.72
What's the Number?,"Find the four digit number in which the first digit is one fourth of the last digit, the second digit is 6 times the first digit, and the third digit is the second digit plus 3.",1694,,2.54,1.36
Roman Matches IV,"The following equation involving Roman numerals is formed using matchsticks. The given equation is wrong. Can you correct it by moving just one matchstick? See if you can do it twice: the equation can be corrected in two different ways. Each solution must be an equation (i.e., it must contain one equals sign).
Note:
I(1) and -(minus) are each formed from one matchstick.
V(5), X(10), L(50), +(plus), and =(equals) are each two matchsticks.
C(100) is three matchsticks.
The incorrect equation is: L = L + L","First solution: LI = L + I or LI = I + L
Take one matchstick from the bottom of either L on the right side of the equation, turn it to form a I, and add it after the L on the left side of the equation.
Second solution: L = C - L
Take the vertical match from the plus sign (changing it to a minus sign), turn it horizontally, and add it to the top of the first L on the right side of the equation, changing it to a C.","One solution involves an I, the other involves a C.",2.54,1.98
Bed of Bricks,"Five stacks of bricks are piled outside the Winter Street School waiting to be used to create a path. They are in their shipping stacks, which are 9 bricks high, 9 bricks across, and 4 bricks deep. Twelve bricks will cover an area of 16 inches x 24 inches.
If the path is to be 4 feet wide, how long will it be (in feet and inches) if all but 1 dozen bricks are used?","The path will be 89 feet, 4 inches long. (Remember, .3333 of a foot = 4 inches.)
Number of bricks in stacks = 5 x 9 x 9 x 4 = 1,620
Number of bricks used = 1,620 - 12 = 1,608
Area covered by 12 bricks = 16 x 24 = 384 square inches
Area covered by 1 brick = 384 / 12 = 32 square inches
Area covered by 1,608 bricks = 32 x 1,608 = 51,456 square inches
Length of path covered = (area of path) / (width of path) inches
= 51,456 / 48 inches
= 1,072 inches or 89 1/3 feet",,2.54,2.09
Candy Sales,"Mary Jane, the confectioner with two first names, looked up her fellow candy maker in the phone book.  ""Cracker, Jack"" was the listing, and during the ensuing phone conversation they decided to jointly market their products in a single multi-pack.  They quickly discovered that the normal rules of economics applied, as when they reduced their price, they were able to sell more of their product, and vice versa.
When they priced a box of candy at $5.95, they realized a profit of $1.75 per box and sold on average 100 boxes per week.
For each $0.20 reduction in price, their sales increased by 25 boxes per week.
What did they finally determine was the optimum price at which to sell their wares to produce the maximum weekly profit?
(Assume that changes in price have no effect on the cost of producing or marketing the candy.)","This can be solved in a few different ways.  Trial and error is one, and perhaps the simplest.  Deriving an equation for the profit produces:
P(Profit) = ($1.75-0.20x)(100+25x)
........ = -5x²-20x+43.75x+175
........ = -5x² +23.75x +175
Here, the 'x' represents the number of $0.20 reductions in price (and per-box profit), and thereby the number of 25 box sales increases that will be performed.
This produces an inverted parabola when graphed, and the point of maximum profit can be fairly accurately determined by observation.  Finally, using basic calculus, the first derivative can be obtained:
P` = -10x +23.75
To maximize Profit, find the point where the first derivative is equal to zero.
0 = -10x +23.75
10x = 23.75
x = 2.375
Therefore, the price should be reduced by 2.375 x $0.20, or $0.47 per box for an optimum price of $5.48 per box.
This yields sales of approximately 159 boxes per week, at a profit per box of $1.28 for a total weekly profit of $203.52.",Form an equation which calculates profit and reflects the effects of changes in price.,2.54,2.66
Hoosier Hysteria,"It was an excellent basketball game, according to Coach Pasquale; the team set a record high. In the 4th quarter, they scored 1/4 of the total points which they scored in the game, less 3. In the 3rd, they scored 1/3 of their score at the end of the 3rd, less 2. In the 2nd, they scored 1/2 of their score at the end of the 2nd, less 1. Their score at the end of the 1st was 27. What was their final score?","96 Points
EXPLANATION:  You know the score at the end of the first quarter is 27, so to figure the score at the end of the second, let X=score after the second quarter & (X/2 - 1) = points scored in the second quarter:
X=(X/2 - 1) + 27 (points scored in first quarter)
X=52
Let Y = score at end of third quarter & (Y/3 - 2) = point scored in third quarter:
Y=(Y/3 - 2) + 52 (score at end of second quarter)
Y=75
Let Z = score at end of fourth quarter & (Z/4 - 3) = points scored in the fourth quarter:
Z= (Z/4 - 3) + 75 (score at end of third quarter)
Z=96",Start at the beginning...,2.54,2.69
Operators and Symbols,"Add the appropriate mathematical operators or symbols to make the following correct:
3 4 5 = 90
Parentheses may be used freely.","(3/4)x5! = 90
5! is 1x2x3x4x5 = 120","The answer is not 3^4 + 4 + 5, as this introduces an extra 4.",2.54,2.64
Painters,"A painting job can be completed by 7  painters in 17  days. If 7  more painters join the team 7  days after starting work on the job, then how many more days are required to complete the job?","Total effort required by 7  painters for 17  days = 7  x 17  = 119  man-days.
Initial effort by 7  painters for 7  days = 7  x 7  = 49  man-days.
Job still requires 119  - 49  = 70  man-days, and there are 14  painters available to do it.
Additional effort required by 14  painters for 70  man-days = 70  / 14  = 5  days.
Thus, 5  more days are required to complete the painting job.",,2.54,1.71
How Long Has He Got Left?,"Quentin is a man who writes puzzle books. His editor gives him a task for his next book. He must produce 500 puzzles in the space of 80 days. He has created 300 puzzles already. However he has been working slower than normal, producing an average of 15 puzzles for every 4 days. How fast will Quentin have to work now to get the book finished on time?","Quentin will never get the book in on time. He is on his 80th day. If he has been producing 15 puzzles for 4 days then, 15*(80/4)=300.",,2.54,1.65
"One Apple, Two Bananas, and One Orange","At a grocery store, apples cost ""a"" dollars each, bananas cost ""b"" dollars each, and oranges cost ""o"" dollars each, where ""a"", ""b"", and ""o"" are positive integers. Al bought ""b"" apples, ""b"" bananas, and ""a""+""b"" oranges, and paid 35 dollars. Ben bought one apple, two bananas, and one orange. How much money did Ben pay?","Ben paid 12 dollars.
From Al's purchase, we know that:
b*a + b*b + (a+b)*o = 35
b*(a+b) + (a+b)*o = 35
(a+b)*(b+o) = 35
Since a, b, and o are positive integers, a+b and b+o are both integers greater than 2. The only pair of integers greater than 2 that multiplies to get 35 is 5 and 7, which means that a+b and b+o are 5 and 7, in some order.
Now we look at Ben's purchase. If p is the amount that Ben paid, then:
a + 2b + o = p
a + b+b + o = p
(a+b) + (b+o) = p
5+7 = p
12 = p",,2.54,1.99
Rubber Band Walking,"There is a rubber band that is looped around an immovable steel rod.  It is three inches long.  At the fixed end is a spider.  He starts walking along the rubber band at the rate of one inch per minute.
A minute after he started, the rubber band is stretched by three inches.  The spider continues walking on it at the same rate.
In another minute, the rubber band is stretched another three inches.
This keeps going on until the spider reaches the end of the rubber band.  How long did it take the spider to reach the end?","10.781355 minutes.
The following shows the lengths of the rubber band, the time in minutes, and the distance traveled by the spider.
3, 0, 0
6, 1, 2
9, 2, 4.5
12, 3, 7.333333
15, 4, 10.41667
18, 5, 13.7
21, 6, 17.15
24, 7, 20.74286
27, 8, 24.46071
30, 9, 28.28968
33, 10, 32.21865
36, 10.781355, 36","The spider's position is not changed when the rubber band is stretched, but the total distance of travel does change.",2.53,2.77
CAB+BAT=CAT?,When does CAB + BAT = CAT?,"When CAB, BAT, and CAT are angles.
If angle CAB and angle BAT are adjacent, with A as the vertex, then the outer rays will form angle CAT.",Think geometry.,2.53,2.24
Postman,"A postman delivered letters every day. On the first day he delivered one letter, on the second day he delivered three letters, on the third day he delivered five letters, and so on. Each day from the second on he delivered two letters more than the preceding day.
The day he retired, he noticed that he had delivered a total of more than 100,000 letters.
Something fun is that the total number of letters he had delivered has its digits arranged in ascending order.
How many days had he worked, and how many letters had he delivered in total?","It's easy to see that the number of letters he had delivered is the square of the number of days he had worked.
Square numbers can't end in 7 or 8, and 123456 is not a square because it is divisible by 3 but not by 9. Hence the number of letters must end with 9.
Since odd squares have remainder 1 upon division by 8, the number formed by its fourth and fifth digits must be divisible by 4, which can be 48, 56 or 68.
Numbers that have remainder 2 upon division by 3, and those that are divisible by 3 but not by 9 are not squares. By trial and error, we know that the only square number satisfying these conditions is 134689=367^2.
Hence, he had worked for 367 days, and had delivered 134689 letters.",The number of days he had worked also has its digits arranged in ascending order.,2.53,2.77
Snog Challenge,"These numbers are snogs:
25     73
81     9     33
41      65
These numbers are NOT snogs:
5     70     16
3      29      44
59    60     64
Which of these numbers are snogs?
48     57     37     17
53     49     62
8     4     18","The numbers 17, 49, and 57 are snogs.
Snogs are each one more than a multiple of 8.",Snogs are one more than...,2.53,2.61
Winning Record,"Chanelle has won 429 games and lost 431 games of her favorite computer card game.
If she wins 3 out of every 4 games she plays from now on, how many more games must she play to bring her total winning percentage up to 55%?","Chanelle must play 220 more games. In these 220 games she wins 3 out of every 4 games, bringing her total of games won to 594 out of 1,080 played (or, 55%).","Guess and check and keep track of the number of games won, games lost, and total games played. Better still, use a variable to represent the number of extra games Chanelle must play.",2.53,2.11
Eat a Sheep,"A lion takes 4 hours to eat one sheep, a leopard takes 5 hours and a bear takes 6. If a single sheep was thrown to them, how long would they take to devour it?","60/37 hours (about 1.6 hours). In one hour a lion eats 1/4 of a sheep, a leopard eats 1/5 and a bear 1/6. So in one hour combined they eat 1/4 + 1/5 + 1/6 sheep. Therefore one sheep will take 1 / (1/4 + 1/5 + 1/6) hours = 60/37.",,2.53,2.34
Tina's Pets,"Tina has a large collection of pets. 1/3 of them are cats, 1/4 of them are dogs, 1/5 are hamsters and the rest are goldfish. If Tina has 39 goldfish, how many pets in total does she have?","She has 180 pets in total.
Cats + Dogs + Hamsters = 1/3 + 1/4 + 1/5 = 47/60.
Remainder = 13/60 = Number of Goldfish.
If 13/60 = 39, total number of animals = (39x60)/13 = 180.
In other words, 13/60 of Tina's pets are goldfish and because she has 39 goldfish, 39/13 = 3, so 1/60 = 3, 3x60 = 180, so 180 pets in total and the equation will look like, 20/60 + 15/60 + 12/60 + 13/60 = 60/60, or 1.",,2.53,0.98
Penultimate Frisbee,"The game of penultimate frisbee has two scoring moves: the bungee and the wedgie.
Each type of score is worth an odd prime number of points, with a bungee being worth more than a wedgie.  If the largest score that can never be achieved in a game is 95 points (no matter how long the game lasts), how many points is each move worth?","The bungee is worth 17 points, and the wedgie is worth 7.
The largest score that can not be achieved by some combination of p and q points, with p relatively prime to q, is p*q-p-q = (p-1)*(q-1)-1.
So 96 must be factorable as (p-1)*(q-1), for odd primes p and q.
Since the prime factorization of 96 = 2^5*3, and each of the two
factors must be even, the possible factorizations are:
2*48
4*24
8*12
16*6
Only the last factorization yields two factors each of which is one less
than an odd prime, so 17 and 7 must be the two primes we seek.","If the two moves are worth p and q, the largest score that can not be
achieved by some combination  of bungees and wedgies is p*q-p-q.",2.53,2.92
One Half,"Arrange the digits 0, 1, 2, 2, 3, 4, 4, 5, 6, and 9, to form a single fraction that equals 1/2.  (Here is one example that, alas, turns out not to be true:  32145/24690=1/2)",One solution:  12345/24690=1/2,,2.53,2.78
The Electricity Shop,"Gazza went to the electricity shop to get stuff for his new house.  He needed 5 items - a stereo, a cooker, a TV, a washing machine and a tumble dryer.  Each item was priced exactly to the pound and no two items cost the same.  If Gazza had only 349 pounds to spend what is the maximum price of the cheapest item?",67 pounds - items were priced at 67/68/69/70/71 total 345 pounds as if it were 68/69/70/71/72 the total price would be 350 pounds and Gazza could not afford it!,,2.53,1.8
